*******************************************************************************
 Revised: July 31, 2013             Moon / (Earth)                          301
 
 GEOPHYSICAL DATA (updated 2018-Aug-15):
  Vol. mean radius, km  = 1737.53+-0.03    Mass, x10^22 kg       =    7.349
  Radius (gravity), km  = 1738.0           Surface emissivity    =    0.92
  Radius (IAU), km      = 1737.4           GM, km^3/s^2          = 4902.800066
  Density, g/cm^3       =    3.3437        GM 1-sigma, km^3/s^2  =  +-0.0001  
  V(1,0)                =   +0.21          Surface accel., m/s^2 =    1.62
  Earth/Moon mass ratio = 81.3005690769    Farside crust. thick. = ~80 - 90 km
  Mean crustal density  = 2.97+-.07 g/cm^3 Nearside crust. thick.= 58+-8 km 
  Heat flow, Apollo 15  = 3.1+-.6 mW/m^2   Mean angular diameter = 31'05.2"
  Heat flow, Apollo 17  = 2.2+-.5 mW/m^2   Sid. rot. rate, rad/s = 0.0000026617
  Geometric Albedo      = 0.12             Mean solar day        = 29.5306 d
  Obliquity to orbit    = 6.67 deg         Orbit period          = 27.321582 d
  Semi-major axis, a    = 384400 km        Eccentricity          = 0.05490
  Mean motion, rad/s    = 2.6616995x10^-6  Inclination           = 5.145 deg
  Apsidal period        = 3231.50 d        Nodal period          = 6798.38 d
                                 Perihelion  Aphelion    Mean
  Solar Constant (W/m^2)         1414+-7     1323+-7     1368+-7
  Maximum Planetary IR (W/m^2)   1314        1226        1268
  Minimum Planetary IR (W/m^2)      5.2         5.2         5.2
********************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Wed Jun  2 01:08:23 2021 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Moon (301)                      {source: DE441}
Center body name: Earth (399)                     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2000-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2001-Jan-31 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Keplerian GM    : 4.0350323562548013E+05 km^3/s^2
Output units    : KM-S, deg, Julian Day Number (Tp)
Output type     : GEOMETRIC osculating elements
Output format   : 10
EOP file        : eop.210601.p210823
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2021-JUN-01. PREDICTS-> 2021-AUG-22
Reference frame : ICRF
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2451544.500000000, A.D. 2000-Jan-01 00:00:00.0000,  6.476694128611285E-02,  3.565283199467716E+05,  2.094024285804211E+01,  1.223323931992754E+01,  6.078357656807530E+01,  2.451533965359285E+06,  1.546268358955513E-04,  1.407402571142363E+02,  1.451550311169050E+02,  3.812186883524647E+05,  4.059090567581578E+05,  2.328185776517964E+06,
2451545.500000000, A.D. 2000-Jan-02 00:00:00.0000,  6.138230553059994E-02,  3.591144038633192E+05,  2.094451237509646E+01,  1.224076235473989E+01,  6.240411081074384E+01,  2.451534025990766E+06,  1.537906780580099E-04,  1.524610650276343E+02,  1.555041370238814E+02,  3.825992264788129E+05,  4.060840490943067E+05,  2.340844091110696E+06,
2451546.500000000, A.D. 2000-Jan-03 00:00:00.0000,  5.760554071255824E-02,  3.620160328239085E+05,  2.094899024311188E+01,  1.225285916864209E+01,  6.434830715538688E+01,  2.451534106733930E+06,  1.528634024991633E-04,  1.636827972120068E+02,  1.654169872404011E+02,  3.841449079588542E+05,  4.062737830938000E+05,  2.355043745686417E+06,
2451547.500000000, A.D. 2000-Jan-04 00:00:00.0000,  5.386954953798428E-02,  3.648519734375013E+05,  2.095295377879882E+01,  1.226914393814955E+01,  6.648726114210609E+01,  2.451534208941059E+06,  1.519839137798132E-04,  1.745303462859553E+02,  1.750816915330137E+02,  3.856254423048495E+05,  4.063989111721977E+05,  2.368671730098688E+06,
2451548.500000000, A.D. 2000-Jan-05 00:00:00.0000,  5.062339249384115E-02,  3.672354332189058E+05,  2.095582159987406E+01,  1.228850615320205E+01,  6.880790380527951E+01,  2.451561885618322E+06,  1.512819333210486E-04,  1.850398083269025E+02,  1.845604906374544E+02,  3.868174445371758E+05,  4.063994558554459E+05,  2.379662872472766E+06,
2451549.500000000, A.D. 2000-Jan-06 00:00:00.0000,  4.823466412201707E-02,  3.688442904766804E+05,  2.095723485312239E+01,  1.230936273802494E+01,  7.142180882534116E+01,  2.451562147649927E+06,  1.508607875213063E-04,  1.951458253936310E+02,  1.937813890238479E+02,  3.875370078869594E+05,  4.062297252972383E+05,  2.386305983913525E+06,
2451550.500000000, A.D. 2000-Jan-07 00:00:00.0000,  4.691786260472657E-02,  3.694806721891935E+05,  2.095709385716003E+01,  1.232995384254114E+01,  7.450800238704214E+01,  2.451562418303409E+06,  1.507835801353673E-04,  2.047319028985109E+02,  2.025970280568397E+02,  3.876692865097294E+05,  4.058579008302653E+05,  2.387527870586485E+06,
2451551.500000000, A.D. 2000-Jan-08 00:00:00.0000,  4.670561568888196E-02,  3.691053702550496E+05,  2.095555114563185E+01,  1.234863532079368E+01,  7.818955009846273E+01,  2.451562705633861E+06,  1.510640588414015E-04,  2.137447987453624E+02,  2.109107852217294E+02,  3.871892841598739E+05,  4.052731980646982E+05,  2.383094978124184E+06,
